dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 144 [ 6.492133, -7.203433, 30.962351 ]
atom 145 [ 4.236737, -3.667808, 22.827744 ]
atom 146 [ 1.643006, -1.905192, 22.233461 ]
atom 147 [ 1.219715, 0.935974, 26.800180 ]
atom 148 [ -0.077062, 3.198193, 31.637409 ]
atom 149 [ -2.354580, 5.204274, 29.986759 ]
atom 150 [ -1.858516, 8.198714, 25.232544 ]
atom 151 [ -2.454236, 8.504909, 29.191942 ]
atom 152 [ -4.101511, 11.100570, 30.742426 ]
atom 153 [ -7.196606, 13.361684, 25.746395 ]
atom 154 [ 13.348442, -14.102213, 24.461637 ]
atom 155 [ 10.853951, -13.085790, 20.975405 ]
atom 156 [ 10.581065, -9.138886, 23.362663 ]
atom 157 [ 8.982296, -7.277823, 20.865955 ]
atom 158 [ 7.014692, -4.051184, 30.325298 ]
atom 159 [ 5.348371, -4.109056, 27.522869 ]
atom 160 [ 5.250101, -1.365835, 29.908661 ]
atom 161 [ 4.690040, 0.982241, 27.375738 ]
atom 162 [ 1.282450, 3.711817, 28.641155 ]
atom 163 [ 2.339269, 5.651523, 31.613106 ]
atom 164 [ -0.049135, 8.566191, 20.509993 ]
atom 165 [ 0.253492, 9.845789, 27.616657 ]
atom 166 [ -0.742490, 11.386874, 30.455179 ]
atom 167 [ -3.810984, 13.628491, 25.647465 ]
atom 168 [ -12.290425, -13.416295, 31.293722 ]
atom 169 [ -14.090793, -11.012370, 30.020786 ]
atom 170 [ 14.469346, -8.281879, 22.762255 ]
atom 171 [ 12.030924, -6.403514, 21.772461 ]
atom 172 [ 11.536609, -3.304127, 25.825644 ]
atom 173 [ 9.761524, -2.981457, 28.943508 ]
atom 174 [ 9.858239, -0.629721, 25.171354 ]
atom 175 [ 8.514313, 1.339861, 21.370152 ]
atom 176 [ 5.716677, 3.078633, 21.580950 ]
atom 177 [ 5.880185, 6.403400, 22.149260 ]
atom 178 [ 3.288681, 8.465704, 21.377611 ]
atom 179 [ 3.726832, 10.829907, 23.897394 ]
atom 180 [ 2.373262, 12.361533, 27.252321 ]
atom 181 [ 0.345544, 14.458482, 30.077364 ]
atom 182 [ -10.073627, -14.268400, 28.850105 ]
atom 183 [ -10.865691, -10.997519, 29.360125 ]
atom 184 [ -13.194704, -9.688374, 27.218828 ]
atom 185 [ -13.728793, -7.007162, 25.470892 ]
atom 186 [ 14.590668, -5.771692, 31.450016 ]
atom 187 [ 13.339009, -3.783287, 29.210489 ]
atom 188 [ 12.246924, -0.922353, 28.528528 ]
atom 189 [ 10.985924, 1.741478, 27.459713 ]
atom 190 [ 8.552943, 3.684220, 30.192701 ]
atom 191 [ 8.751366, 4.704934, 20.611328 ]
atom 192 [ 6.088189, 7.715911, 25.343243 ]
atom 193 [ 6.527320, 9.746844, 22.456236 ]
