dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 1414 [ 0.188207, -10.563735, -27.785641 ]
atom 1415 [ -1.025033, -11.373757, -27.051762 ]
atom 1416 [ -8.424819, -7.777437, 40.693649 ]
atom 1417 [ -8.197348, -7.098474, 41.391693 ]
atom 1418 [ -8.406803, -7.346742, 39.791332 ]
atom 1419 [ -11.683303, 14.388103, -22.077845 ]
atom 1420 [ -11.654504, 15.149352, -21.430025 ]
atom 1421 [ -12.616725, 14.275404, -22.418465 ]
atom 1422 [ 0.626705, -9.136846, 34.803013 ]
atom 1423 [ -0.343255, -8.900661, 34.861263 ]
atom 1424 [ 1.177110, -8.304810, 34.872078 ]
atom 1425 [ -11.407392, 0.913554, -26.452375 ]
atom 1426 [ -11.966102, 0.254262, -26.955542 ]
atom 1427 [ -10.464443, 0.583987, -26.405115 ]
atom 1428 [ -0.098859, -6.417409, -28.886051 ]
atom 1429 [ -0.786276, -6.334383, -28.164549 ]
atom 1430 [ -0.502982, -6.157351, -29.763008 ]
atom 1431 [ -11.016501, -5.486310, -34.256134 ]
atom 1432 [ -10.528687, -4.671067, -34.568249 ]
atom 1433 [ -10.396744, -6.061710, -33.722454 ]
atom 1434 [ 8.834951, 8.670323, -8.827878 ]
atom 1435 [ 9.645884, 8.223686, -9.205907 ]
atom 1436 [ 8.344136, 9.144273, -9.558953 ]
atom 1437 [ 7.109694, 10.322502, -41.880592 ]
atom 1438 [ 7.520470, 9.505240, -41.476433 ]
atom 1439 [ 7.472254, 10.456506, -42.802868 ]
atom 1440 [ 5.661252, 10.967171, -7.797324 ]
atom 1441 [ 5.123859, 10.124849, -7.838594 ]
atom 1442 [ 5.725140, 11.366944, -8.711709 ]
atom 1443 [ 5.756129, -8.127327, -14.017279 ]
atom 1444 [ 6.124618, -8.104917, -14.946641 ]
atom 1445 [ 4.904168, -7.604792, -13.983809 ]
atom 1446 [ 14.001592, -4.888327, -35.435387 ]
atom 1447 [ 14.375972, -5.572162, -36.061653 ]
atom 1448 [ 14.740335, -4.502614, -34.882683 ]
atom 1449 [ 8.205274, -14.404474, -28.757799 ]
atom 1450 [ 8.850649, -14.124401, -28.047131 ]
atom 1451 [ 8.625574, -15.107511, -29.331461 ]
atom 1452 [ -0.474522, -3.801666, 38.386314 ]
atom 1453 [ -1.334296, -3.558094, 37.937469 ]
atom 1454 [ -0.622017, -3.872956, 39.372807 ]
atom 1455 [ -9.177731, -9.611832, -35.160313 ]
atom 1456 [ -9.725609, -9.490520, -34.332600 ]
atom 1457 [ -8.972033, -8.717633, -35.557930 ]
atom 1458 [ -11.625552, -3.939651, -20.748703 ]
atom 1459 [ -12.497050, -3.714946, -20.312815 ]
atom 1460 [ -11.173156, -4.667676, -20.233614 ]
atom 1461 [ 0.812368, -12.479562, -16.748135 ]
atom 1462 [ 1.339459, -12.977569, -16.059540 ]
atom 1463 [ 0.854644, -12.969469, -17.618883 ]
atom 1464 [ -3.776556, -10.699940, -38.256100 ]
atom 1465 [ -4.504169, -10.016837, -38.193253 ]
atom 1466 [ -4.162177, -11.570549, -38.561611 ]
atom 1467 [ -3.872647, 3.359479, -20.457909 ]
atom 1468 [ -3.242676, 3.831286, -19.841034 ]
atom 1469 [ -3.375695, 2.658817, -20.969877 ]
atom 1470 [ 9.279597, -1.826908, 37.253716 ]
atom 1471 [ 10.138360, -2.179157, 37.625801 ]
atom 1472 [ 8.725611, -2.587880, 36.916046 ]
atom 1473 [ -10.510995, 12.124194, -14.160528 ]
atom 1474 [ -10.917906, 12.673551, -13.430712 ]
atom 1475 [ -11.213816, 11.888515, -14.831720 ]
atom 1476 [ -2.483956, 5.622226, -36.921585 ]
atom 1477 [ -1.802917, 5.005228, -37.315922 ]
atom 1478 [ -3.182831, 5.828721, -37.606373 ]
atom 1479 [ -0.866590, -3.936701, 41.052498 ]
atom 1480 [ -1.230347, -3.184355, 41.601730 ]
atom 1481 [ 0.071940, -4.133183, 41.336323 ]
atom 1482 [ 7.199126, -8.420344, -30.975048 ]
atom 1483 [ 7.029331, -7.865580, -31.789545 ]
atom 1484 [ 6.399180, -8.386430, -30.375935 ]
atom 1485 [ 3.223610, -14.945372, -31.665609 ]
atom 1486 [ 2.280293, -14.638154, -31.791185 ]
atom 1487 [ 3.846439, -14.176004, -31.807594 ]
atom 1488 [ 3.309354, 2.759100, -41.376389 ]
atom 1489 [ 2.393053, 2.402756, -41.559177 ]
atom 1490 [ 3.799542, 2.126488, -40.776791 ]
atom 1491 [ -5.299623, 1.375070, -8.478128 ]
atom 1492 [ -4.484471, 1.954054, -8.460627 ]
atom 1493 [ -5.432163, 1.013854, -9.401143 ]
atom 1494 [ 8.535479, -12.333858, -11.880663 ]
atom 1495 [ 9.435349, -12.025224, -12.188850 ]
atom 1496 [ 7.829291, -11.740263, -12.266597 ]
atom 1497 [ 1.703078, -2.210585, 37.803055 ]
atom 1498 [ 1.820443, -1.519488, 38.516224 ]
atom 1499 [ 0.927093, -2.798063, 38.032654 ]
atom 1500 [ 0.536027, 8.121530, -18.981760 ]
atom 1501 [ 1.460085, 8.357831, -18.681297 ]
atom 1502 [ -0.114170, 8.321512, -18.248785 ]
atom 1503 [ -1.834652, -10.376368, -40.107380 ]
atom 1504 [ -2.490093, -10.516793, -39.365303 ]
atom 1505 [ -1.119630, -11.073649, -40.056976 ]
atom 1506 [ -11.665122, 1.308426, -9.731499 ]
atom 1507 [ -11.885338, 0.849838, -10.592430 ]
atom 1508 [ -11.244594, 0.653876, -9.103231 ]
atom 1509 [ -9.413277, 0.394423, -40.754433 ]
atom 1510 [ -9.692145, -0.482586, -40.363171 ]
atom 1511 [ -10.219814, 0.881470, -41.089520 ]
atom 1512 [ 5.371198, 10.332244, -21.214596 ]
atom 1513 [ 5.054469, 9.466589, -20.826880 ]
atom 1514 [ 5.979768, 10.786153, -20.563744 ]
atom 1515 [ -8.196092, 6.904226, -26.803900 ]
atom 1516 [ -8.017241, 7.760524, -27.288427 ]
atom 1517 [ -7.335673, 6.532439, -26.455397 ]
atom 1518 [ 2.474944, -13.754997, -14.969379 ]
atom 1519 [ 3.361723, -14.079345, -15.298654 ]
atom 1520 [ 2.590141, -13.317888, -14.077379 ]
atom 1521 [ -8.419100, -7.037718, -35.783188 ]
atom 1522 [ -7.572682, -6.541218, -35.975708 ]
atom 1523 [ -8.661971, -6.921606, -34.820103 ]
atom 1524 [ 11.924457, 0.165451, -10.394874 ]
atom 1525 [ 10.961846, 0.025931, -10.627070 ]
atom 1526 [ 12.211368, -0.526857, -9.732762 ]
atom 1527 [ -6.722759, -1.401966, -26.386992 ]
atom 1528 [ -7.160258, -2.261160, -26.121698 ]
atom 1529 [ -5.733751, -1.536527, -26.448273 ]
atom 1530 [ 4.229024, -3.940333, -14.986860 ]
atom 1531 [ 4.568715, -3.258656, -15.634877 ]
atom 1532 [ 3.281148, -3.729698, -14.747770 ]
atom 1533 [ -3.844017, 1.644017, 37.587940 ]
atom 1534 [ -3.138816, 0.944836, 37.470306 ]
atom 1535 [ -3.610979, 2.447880, 37.040676 ]
atom 1536 [ -0.494422, 4.389702, -16.372469 ]
atom 1537 [ -0.529031, 5.257710, -15.877127 ]
atom 1538 [ -0.782515, 4.534391, -17.319078 ]
atom 1539 [ 9.726306, -13.342250, -40.526283 ]
atom 1540 [ 9.770199, -12.447083, -40.082718 ]
atom 1541 [ 8.922636, -13.380971, -41.120098 ]
atom 1542 [ -1.148062, 2.717888, -32.806488 ]
atom 1543 [ -0.201129, 2.927510, -33.050163 ]
atom 1544 [ -1.226284, 2.636058, -31.812916 ]
atom 1545 [ -11.238672, 2.225285, -20.921146 ]
atom 1546 [ -11.168994, 2.939209, -21.617895 ]
atom 1547 [ -10.321849, 1.961112, -20.621733 ]
atom 1548 [ 10.705915, 11.563560, 41.002712 ]
atom 1549 [ 9.874847, 11.010334, 40.945545 ]
atom 1550 [ 11.062069, 11.534554, 41.936687 ]
atom 1551 [ -2.212685, -13.404774, -42.329044 ]
atom 1552 [ -1.340215, -13.002116, -42.605923 ]
atom 1553 [ -2.092829, -13.901044, -41.469189 ]
atom 1554 [ 11.848826, -1.549116, -28.790659 ]
atom 1555 [ 11.247890, -2.251556, -28.409273 ]
atom 1556 [ 11.298898, -0.861606, -29.264904 ]
atom 1557 [ 10.416826, 8.297859, -37.215363 ]
atom 1558 [ 11.277157, 8.792154, -37.339874 ]
atom 1559 [ 9.735649, 8.910192, -36.814056 ]
atom 1560 [ 5.658473, -14.297487, -35.653374 ]
atom 1561 [ 6.312816, -14.775640, -36.239208 ]
atom 1562 [ 6.012441, -14.260972, -34.718830 ]
atom 1563 [ 3.605597, 2.509948, -13.608117 ]
atom 1564 [ 3.844958, 1.631411, -14.021493 ]
atom 1565 [ 2.662829, 2.744176, -13.845449 ]
atom 1566 [ -13.179444, 12.721549, -25.363529 ]
atom 1567 [ -14.064930, 12.857804, -25.807768 ]
atom 1568 [ -12.452506, 13.069899, -25.955317 ]
atom 1569 [ -4.222055, -9.627717, -25.776161 ]
atom 1570 [ -4.098454, -10.604568, -25.601561 ]
atom 1571 [ -3.669869, -9.357595, -26.564909 ]
atom 1572 [ 6.814270, 1.721387, -13.504879 ]
atom 1573 [ 6.358677, 1.928703, -12.639168 ]
atom 1574 [ 7.456787, 0.966884, -13.371099 ]
atom 1575 [ 10.420977, 10.332586, -31.740330 ]
atom 1576 [ 10.421393, 10.717038, -32.663475 ]
atom 1577 [ 11.164096, 9.668849, -31.655331 ]
atom 1578 [ 7.686789, 10.083857, -10.812332 ]
atom 1579 [ 6.986506, 10.784453, -10.675331 ]
atom 1580 [ 7.470851, 9.552405, -11.631435 ]
atom 1581 [ -10.677412, -0.613825, -35.196785 ]
atom 1582 [ -10.648671, -0.216398, -34.279602 ]
atom 1583 [ -11.612733, -0.897750, -35.407879 ]
atom 1584 [ -10.498090, 11.779456, -42.511887 ]
atom 1585 [ -11.196313, 11.798765, -41.796268 ]
atom 1586 [ -9.593904, 11.694921, -42.093197 ]
atom 1587 [ -3.511005, 12.957436, -21.305933 ]
atom 1588 [ -2.911294, 13.521438, -20.738266 ]
atom 1589 [ -4.149161, 13.545335, -21.803055 ]
atom 1590 [ -7.651398, -14.934286, -24.183432 ]
atom 1591 [ -7.242000, -14.128224, -24.610817 ]
atom 1592 [ -7.927020, -15.583638, -24.892216 ]
atom 1593 [ -5.566012, -0.871508, -32.734447 ]
atom 1594 [ -5.746971, -0.774481, -33.713142 ]
atom 1595 [ -6.389599, -0.636423, -32.218273 ]
atom 1596 [ 2.968585, -2.750100, -28.194662 ]
atom 1597 [ 3.827001, -3.117920, -28.552195 ]
atom 1598 [ 2.738547, -1.907464, -28.681538 ]
atom 1599 [ -0.694907, -8.114806, -19.506983 ]
atom 1600 [ 0.087390, -8.678284, -19.241455 ]
atom 1601 [ -0.414361, -7.467886, -20.216059 ]
atom 1602 [ 2.155200, 5.477658, -10.334705 ]
atom 1603 [ 2.183329, 5.482457, -11.334298 ]
atom 1604 [ 1.797729, 4.599975, -10.015510 ]
atom 1605 [ 11.214130, 3.590751, -41.554073 ]
atom 1606 [ 10.535600, 3.948532, -40.912518 ]
atom 1607 [ 10.937095, 2.679352, -41.858379 ]
atom 1608 [ -4.005294, -6.121202, -20.334667 ]
atom 1609 [ -4.470500, -6.849446, -20.837900 ]
atom 1610 [ -4.269829, -6.160352, -19.371086 ]
atom 1611 [ -6.819785, -5.795719, -30.400066 ]
atom 1612 [ -6.805323, -6.513008, -31.096691 ]
atom 1613 [ -7.117980, -6.183902, -29.528061 ]
atom 1614 [ 12.749399, 13.406146, 37.296951 ]
atom 1615 [ 13.740867, 13.517085, 37.228500 ]
atom 1616 [ 12.322060, 13.691279, 36.438999 ]
atom 1617 [ -8.330224, -10.989833, -38.806164 ]
atom 1618 [ -7.893965, -11.560622, -39.501778 ]
atom 1619 [ -8.779135, -11.573518, -38.129562 ]
atom 1620 [ -4.998077, 3.655640, -27.506704 ]
atom 1621 [ -5.713324, 2.973900, -27.352913 ]
atom 1622 [ -4.100955, 3.220206, -27.432070 ]
atom 1623 [ -2.281396, 2.807587, -27.474672 ]
atom 1624 [ -1.763890, 2.363962, -26.742973 ]
atom 1625 [ -1.893621, 3.711201, -27.656637 ]
atom 1626 [ 14.349573, 13.565570, -18.497322 ]
atom 1627 [ 14.712929, 12.949757, -19.196426 ]
atom 1628 [ 13.350202, 13.532946, -18.511204 ]
atom 1629 [ -1.091541, 12.940453, 35.827969 ]
atom 1630 [ -1.931213, 13.024426, 36.364529 ]
atom 1631 [ -0.892118, 11.973328, 35.670166 ]
atom 1632 [ 3.483206, 6.616681, -38.611942 ]
atom 1633 [ 3.595475, 5.789290, -38.061653 ]
atom 1634 [ 3.693340, 6.412207, -39.567993 ]
atom 1635 [ -8.226097, 14.656180, -17.629753 ]
atom 1636 [ -7.272396, 14.877395, -17.425995 ]
atom 1637 [ -8.741096, 14.582948, -16.775696 ]
atom 1638 [ 13.280720, -10.335499, -31.171530 ]
atom 1639 [ 13.909151, -10.629693, -30.451443 ]
atom 1640 [ 12.868771, -9.460443, -30.917414 ]
atom 1641 [ -0.869850, 1.600374, -13.431338 ]
atom 1642 [ -1.274954, 1.097513, -14.194897 ]
atom 1643 [ -1.550138, 1.711146, -12.706813 ]
atom 1644 [ 2.288557, -10.910903, -8.555425 ]
atom 1645 [ 3.086669, -10.519696, -9.013654 ]
atom 1646 [ 2.580465, -11.386530, -7.725624 ]
atom 1647 [ -9.810104, 4.439349, -24.298491 ]
atom 1648 [ -10.062812, 5.296120, -24.748026 ]
atom 1649 [ -8.824880, 4.430631, -24.127447 ]
atom 1650 [ -7.191473, -1.761383, -6.918181 ]
atom 1651 [ -7.356218, -0.796391, -7.122263 ]
atom 1652 [ -7.212448, -1.901022, -5.928201 ]
atom 1653 [ -12.233657, -10.450044, -12.105020 ]
atom 1654 [ -13.152663, -10.262261, -12.451668 ]
atom 1655 [ -12.294958, -10.798656, -11.169760 ]
atom 1656 [ 5.607170, 13.640684, -7.068211 ]
atom 1657 [ 5.468394, 12.650408, -7.077821 ]
atom 1658 [ 6.449762, 13.863966, -7.558296 ]
atom 1659 [ -2.457749, -5.843033, -22.561272 ]
atom 1660 [ -2.556036, -6.622195, -23.180340 ]
atom 1661 [ -3.058155, -5.967167, -21.771269 ]
atom 1662 [ -14.376987, 13.791796, -13.170792 ]
atom 1663 [ -13.395400, 13.820596, -12.981959 ]
atom 1664 [ -14.528908, 13.860534, -14.156792 ]
atom 1665 [ 11.712487, -2.324710, 38.270660 ]
atom 1666 [ 12.563465, -2.799694, 38.046547 ]
atom 1667 [ 11.513411, -2.438842, 39.243977 ]
atom 1668 [ -3.366630, 9.057834, 42.367725 ]
atom 1669 [ -3.825360, 9.902805, 42.642666 ]
atom 1670 [ -3.815097, 8.684048, 41.555840 ]
atom 1671 [ -10.804036, -2.384074, -32.280579 ]
atom 1672 [ -11.668135, -2.806120, -32.006332 ]
atom 1673 [ -10.409098, -2.897792, -33.042233 ]
atom 1674 [ -12.750785, 7.857192, -26.823071 ]
atom 1675 [ -12.709121, 8.568084, -27.525137 ]
atom 1676 [ -13.461328, 7.194979, -27.060987 ]
atom 1677 [ 9.361827, 8.087281, 35.334476 ]
atom 1678 [ 9.330668, 7.159051, 34.963776 ]
atom 1679 [ 10.100280, 8.597612, 34.893738 ]
atom 1680 [ -1.573526, -14.789862, -23.981861 ]
atom 1681 [ -0.945146, -15.182338, -23.310221 ]
atom 1682 [ -2.175974, -14.131905, -23.530035 ]
atom 1683 [ -11.879775, 2.439979, -37.582344 ]
atom 1684 [ -11.431867, 1.578297, -37.343842 ]
atom 1685 [ -12.467134, 2.300833, -38.379616 ]
atom 1686 [ -6.966349, -8.374789, 34.716206 ]
atom 1687 [ -6.898952, -8.946916, 33.898815 ]
atom 1688 [ -6.059916, -8.269886, 35.125320 ]
atom 1689 [ -0.224539, -12.617961, 35.988289 ]
atom 1690 [ 0.475672, -11.926318, 36.165302 ]
atom 1691 [ -1.129136, -12.193167, 36.023712 ]
atom 1692 [ -13.715727, 13.524314, -39.438351 ]
atom 1693 [ -13.342655, 13.878588, -38.580849 ]
atom 1694 [ -14.023578, 14.286380, -40.007984 ]
atom 1695 [ -3.142715, 6.872818, -18.024599 ]
atom 1696 [ -2.467710, 7.532754, -17.694670 ]
atom 1697 [ -3.660125, 7.274658, -18.780119 ]
atom 1698 [ 12.712811, 9.645837, -37.387886 ]
atom 1699 [ 13.246040, 10.291117, -37.934952 ]
atom 1700 [ 12.776607, 9.895675, -36.421703 ]
atom 1701 [ -11.757689, 3.786345, -8.585375 ]
atom 1702 [ -12.647876, 4.239662, -8.539864 ]
atom 1703 [ -11.869101, 2.871121, -8.972612 ]
atom 1704 [ -13.903751, 4.097087, -25.906864 ]
atom 1705 [ -13.837633, 4.067519, -24.909491 ]
atom 1706 [ -13.000607, 3.938052, -26.305660 ]
atom 1707 [ -3.702671, -9.741354, -29.992502 ]
atom 1708 [ -2.912863, -9.923161, -30.578291 ]
atom 1709 [ -3.399657, -9.282173, -29.157434 ]
atom 1710 [ -5.430800, 5.239586, -21.876604 ]
atom 1711 [ -4.870894, 4.604510, -21.344456 ]
atom 1712 [ -5.905178, 5.865192, -21.257263 ]
atom 1713 [ 8.980149, -5.929891, 35.784687 ]
atom 1714 [ 8.419291, -6.757620, 35.767292 ]
atom 1715 [ 8.394998, -5.128137, 35.663074 ]
atom 1716 [ 6.893496, -10.616930, 39.417797 ]
atom 1717 [ 6.175620, -11.304515, 39.308796 ]
atom 1718 [ 6.560076, -9.876566, 40.001488 ]
atom 1719 [ 5.848146, -9.450968, -39.742474 ]
atom 1720 [ 5.285773, -8.653733, -39.961914 ]
atom 1721 [ 5.271008, -10.169238, -39.353889 ]
atom 1722 [ 8.944818, -7.661153, -10.247141 ]
atom 1723 [ 9.333278, -6.865458, -9.782418 ]
atom 1724 [ 8.449580, -7.361947, -11.062748 ]
atom 1725 [ 9.091800, -8.732700, -36.197449 ]
atom 1726 [ 8.935457, -8.646279, -37.181362 ]
atom 1727 [ 9.396730, -7.854088, -35.829948 ]
atom 1728 [ -4.582985, -7.951879, 36.064735 ]
atom 1729 [ -4.872804, -7.314376, 36.778595 ]
atom 1730 [ -4.665428, -8.889725, 36.401852 ]
atom 1731 [ -11.425375, 6.806973, -30.928072 ]
atom 1732 [ -11.348188, 7.803126, -30.969540 ]
atom 1733 [ -12.330379, 6.556799, -30.584005 ]
atom 1734 [ 3.204646, -8.504138, -31.531776 ]
atom 1735 [ 3.069345, -7.526383, -31.692051 ]
atom 1736 [ 3.749614, -8.633856, -30.703415 ]
atom 1737 [ -12.862464, 10.887520, -18.310493 ]
atom 1738 [ -12.003148, 10.475489, -18.613489 ]
atom 1739 [ -13.341125, 11.276922, -19.097418 ]
atom 1740 [ 12.635935, -10.810328, -40.382992 ]
atom 1741 [ 12.500894, -11.674600, -40.867550 ]
atom 1742 [ 13.398815, -10.902619, -39.743073 ]
atom 1743 [ -5.138574, -5.308670, -14.036778 ]
atom 1744 [ -4.796464, -4.996570, -13.150463 ]
atom 1745 [ -5.077553, -6.305624, -14.085361 ]
atom 1746 [ 6.098533, 5.700932, -22.964186 ]
atom 1747 [ 6.678975, 4.980538, -23.343819 ]
atom 1748 [ 6.647484, 6.521152, -22.803280 ]
atom 1749 [ 11.049403, -6.702153, -20.392191 ]
atom 1750 [ 11.202226, -5.716798, -20.467834 ]
atom 1751 [ 10.315085, -6.974292, -21.014057 ]
atom 1752 [ -7.363911, -1.003777, 36.003517 ]
atom 1753 [ -7.044054, -1.849941, 35.577255 ]
atom 1754 [ -7.913484, -1.223615, 36.809521 ]
atom 1755 [ 7.557821, 10.640373, -22.923487 ]
atom 1756 [ 6.685313, 10.567681, -22.440325 ]
atom 1757 [ 8.203083, 11.165984, -22.369076 ]
atom 1758 [ 10.689021, -4.657254, -41.152843 ]
atom 1759 [ 11.171705, -5.275901, -41.772758 ]
atom 1760 [ 10.042878, -4.100004, -41.674355 ]
atom 1761 [ -6.174012, -6.067012, -25.802397 ]
atom 1762 [ -5.287108, -5.699096, -26.081753 ]
atom 1763 [ -6.035510, -6.807793, -25.145082 ]
atom 1764 [ -5.949516, 7.172400, -11.389163 ]
atom 1765 [ -6.847644, 6.895896, -11.047240 ]
atom 1766 [ -5.719731, 6.631247, -12.198083 ]
atom 1767 [ 5.581129, 2.581776, 39.636921 ]
atom 1768 [ 6.569125, 2.493574, 39.763748 ]
atom 1769 [ 5.301787, 2.066704, 38.826569 ]
atom 1770 [ -2.147742, -10.140203, -22.545948 ]
atom 1771 [ -2.444031, -9.922010, -21.616106 ]
atom 1772 [ -2.298233, -9.348586, -23.138142 ]
atom 1773 [ 8.575388, 3.315104, -9.239342 ]
atom 1774 [ 8.627739, 4.265872, -8.933892 ]
atom 1775 [ 9.437319, 3.057316, -9.675943 ]
atom 1776 [ -11.101108, 8.943652, 42.292198 ]
atom 1777 [ -10.129315, 8.733759, 42.399738 ]
atom 1778 [ -11.214366, 9.923700, 42.128864 ]
atom 1779 [ -2.958013, -12.702760, -22.637917 ]
atom 1780 [ -3.786365, -12.766210, -22.081314 ]
atom 1781 [ -2.658725, -11.749650, -22.682732 ]
atom 1782 [ -11.572311, 8.264394, 36.125988 ]
atom 1783 [ -12.032690, 7.698074, 35.442368 ]
atom 1784 [ -11.501265, 9.202944, 35.788235 ]
atom 1785 [ 14.072900, 3.283656, -21.237001 ]
atom 1786 [ 14.523783, 3.058681, -20.373236 ]
atom 1787 [ 13.250957, 3.822830, -21.053425 ]
atom 1788 [ -6.563324, -14.453071, 38.585049 ]
atom 1789 [ -6.264618, -13.556749, 38.912743 ]
atom 1790 [ -6.146039, -14.638789, 37.695450 ]
atom 1791 [ 11.246889, 8.052197, -24.832836 ]
atom 1792 [ 12.061883, 8.501565, -24.466976 ]
atom 1793 [ 10.547307, 8.739199, -25.029341 ]
atom 1794 [ -2.148009, 7.167763, -21.886738 ]
atom 1795 [ -2.628712, 6.861718, -22.708481 ]
atom 1796 [ -1.422750, 6.516697, -21.662878 ]
atom 1797 [ -6.088830, -11.958155, -17.991301 ]
atom 1798 [ -5.972006, -12.891834, -17.652782 ]
atom 1799 [ -5.206447, -11.487699, -17.982914 ]
atom 1800 [ -10.366915, -7.718400, -14.615265 ]
atom 1801 [ -10.143109, -8.116030, -15.505096 ]
atom 1802 [ -9.728356, -8.061851, -13.926581 ]
atom 1803 [ 11.187246, -11.217501, 41.268997 ]
atom 1804 [ 11.842125, -11.944090, 41.061146 ]
atom 1805 [ 10.264995, -11.521734, 41.030476 ]
atom 1806 [ -10.714775, -9.444845, -32.905502 ]
atom 1807 [ -10.537065, -10.212969, -32.290356 ]
atom 1808 [ -11.660412, -9.487833, -33.227871 ]
atom 1809 [ 0.691075, 7.707389, -13.026020 ]
atom 1810 [ 1.157733, 8.586118, -13.126351 ]
atom 1811 [ 1.368358, 6.972595, -12.989061 ]
atom 1812 [ -13.909545, 9.312840, -40.302158 ]
atom 1813 [ -13.126369, 8.790348, -39.965054 ]
atom 1814 [ -14.668513, 8.690224, -40.492722 ]
atom 1815 [ 0.950769, -12.740739, -34.912689 ]
atom 1816 [ 0.471345, -11.975513, -35.342323 ]
atom 1817 [ 1.937971, -12.601700, -34.990803 ]
atom 1818 [ -12.741117, -8.306602, 39.240139 ]
atom 1819 [ -13.304507, -8.454585, 40.052971 ]
atom 1820 [ -13.324471, -8.032242, 38.475662 ]
atom 1821 [ 5.948278, -4.830909, -31.824188 ]
atom 1822 [ 5.917358, -4.940853, -30.830732 ]
atom 1823 [ 6.187452, -5.704072, -32.248905 ]
atom 1824 [ -2.821597, -8.597405, -33.085953 ]
atom 1825 [ -2.426914, -8.593698, -34.004765 ]
atom 1826 [ -2.239686, -9.134590, -32.475368 ]
atom 1827 [ -12.095711, 10.661014, -23.949171 ]
atom 1828 [ -12.714553, 9.883054, -24.057859 ]
atom 1829 [ -12.423261, 11.427268, -24.501951 ]
atom 1830 [ 3.611887, 0.368493, -19.035545 ]
atom 1831 [ 3.573884, 1.337236, -18.790407 ]
atom 1832 [ 2.682460, 0.012765, -19.133636 ]
atom 1833 [ -3.650534, -9.614252, -7.934334 ]
atom 1834 [ -4.564515, -9.245561, -8.103758 ]
atom 1835 [ -3.311918, -10.059766, -8.763103 ]
atom 1836 [ -7.969336, -3.951952, -21.944357 ]
atom 1837 [ -7.201180, -3.475154, -22.371674 ]
atom 1838 [ -8.644975, -4.188384, -22.642649 ]
atom 1839 [ -9.615998, -7.961116, -20.972427 ]
atom 1840 [ -9.753726, -7.589841, -21.890678 ]
atom 1841 [ -8.712384, -8.385819, -20.916670 ]
atom 1842 [ -7.161225, 1.745593, -22.775139 ]
atom 1843 [ -6.971570, 2.061104, -21.845364 ]
atom 1844 [ -8.044171, 1.276513, -22.794369 ]
atom 1845 [ 6.072782, 12.220046, -10.160283 ]
atom 1846 [ 6.733270, 12.788893, -9.670214 ]
atom 1847 [ 5.545065, 12.789659, -10.790406 ]
atom 1848 [ 14.241961, 7.383193, -37.785233 ]
atom 1849 [ 15.143434, 7.603376, -37.412586 ]
atom 1850 [ 13.620915, 8.151735, -37.631462 ]
atom 1851 [ 4.190775, -6.187170, -27.938141 ]
atom 1852 [ 4.953376, -6.360157, -27.314831 ]
atom 1853 [ 4.390574, -5.379776, -28.493294 ]
atom 1854 [ 7.404668, 4.108142, -36.690125 ]
atom 1855 [ 7.397009, 4.857070, -37.352734 ]
atom 1856 [ 8.105571, 4.282200, -35.998432 ]
atom 1857 [ 6.794896, -14.023496, -33.194065 ]
atom 1858 [ 7.450580, -13.304567, -33.424763 ]
atom 1859 [ 5.996228, -13.616499, -32.750797 ]
atom 1860 [ -14.641877, 12.539301, 41.060329 ]
atom 1861 [ -15.318023, 12.105690, 40.464672 ]
atom 1862 [ -13.911470, 12.934420, 40.503208 ]
atom 1863 [ -7.658972, -6.033635, -42.343369 ]
atom 1864 [ -6.683819, -6.173243, -42.515377 ]
atom 1865 [ -7.782176, -5.615337, -41.443455 ]
atom 1866 [ 8.546897, -12.623138, -21.388882 ]
atom 1867 [ 8.507865, -11.696622, -21.763103 ]
atom 1868 [ 8.941039, -13.241077, -22.069180 ]
atom 1869 [ -8.668400, -14.585770, 42.073490 ]
atom 1870 [ -8.270449, -13.672904, 41.982319 ]
atom 1871 [ -9.212457, -14.794896, 41.260921 ]
atom 1872 [ -9.706684, 10.420348, 38.768799 ]
atom 1873 [ -9.022276, 9.964562, 39.337875 ]
atom 1874 [ -9.382004, 10.459313, 37.823780 ]
atom 1875 [ -12.441374, 3.578978, -29.698336 ]
atom 1876 [ -12.122513, 3.153536, -30.545288 ]
atom 1877 [ -12.773196, 4.501949, -29.893320 ]
atom 1878 [ -0.038146, -5.102404, -11.403954 ]
atom 1879 [ 0.589529, -4.659679, -10.763627 ]
atom 1880 [ -0.715014, -4.437841, -11.720507 ]
atom 1881 [ -0.892355, 6.695684, -15.010835 ]
atom 1882 [ -1.849292, 6.569373, -14.749460 ]
atom 1883 [ -0.375175, 7.038907, -14.226791 ]
atom 1884 [ 11.641613, 13.359440, -18.376816 ]
atom 1885 [ 11.153561, 14.003418, -17.787666 ]
atom 1886 [ 11.509203, 12.428966, -18.035223 ]
atom 1887 [ 0.079092, -14.891211, -30.313158 ]
atom 1888 [ 0.276077, -14.289216, -31.086979 ]
atom 1889 [ 0.639541, -14.621689, -29.530052 ]
atom 1890 [ -9.016942, 4.486827, -27.844128 ]
atom 1891 [ -9.937156, 4.231839, -27.547161 ]
atom 1892 [ -8.780662, 5.381876, -27.465893 ]
